DRG Definition,Provider State,Total Discharges,Average Covered Charges,Average Total Payments,Average Medicare Payments
244 - PERMANENT CARDIAC PACEMAKER IMPLANT W/O CC/MCC,WA,437,53674.56522,14680.4508,12956.04119
244 - PERMANENT CARDIAC PACEMAKER IMPLANT W/O CC/MCC,WI,455,41808.37143,13502.7011,12145.88791
244 - PERMANENT CARDIAC PACEMAKER IMPLANT W/O CC/MCC,WV,278,34232.71223,12733.09353,11182.20144
244 - PERMANENT CARDIAC PACEMAKER IMPLANT W/O CC/MCC,WY,31,55623.64516,16065.6129,13357.35484
246 - PERC CARDIOVASC PROC W DRUG-ELUTING STENT W MCC OR 4+ VESSELS/STENTS,AK,45,127073.6222,31524.48889,27943.82222
246 - PERC CARDIOVASC PROC W DRUG-ELUTING STENT W MCC OR 4+ VESSELS/STENTS,AL,562,92511.74911,18902.06762,17337.52135
246 - PERC CARDIOVASC PROC W DRUG-ELUTING STENT W MCC OR 4+ VESSELS/STENTS,AR,473,62958.14376,18611.59831,16730.41649
246 - PERC CARDIOVASC PROC W DRUG-ELUTING STENT W MCC OR 4+ VESSELS/STENTS,AZ,655,112353.8763,23510.18473,20953.27786
246 - PERC CARDIOVASC PROC W DRUG-ELUTING STENT W MCC OR 4+ VESSELS/STENTS,CA,2307,170734.7928,29479.73732,27723.04118
246 - PERC CARDIOVASC PROC W DRUG-ELUTING STENT W MCC OR 4+ VESSELS/STENTS,CO,325,118175.4985,23260.72923,20076.12615
246 - PERC CARDIOVASC PROC W DRUG-ELUTING STENT W MCC OR 4+ VESSELS/STENTS,CT,303,91529.79208,29922.74917,27529.78218
246 - PERC CARDIOVASC PROC W DRUG-ELUTING STENT W MCC OR 4+ VESSELS/STENTS,DC,151,100550.6821,28929.41722,24748.78808
246 - PERC CARDIOVASC PROC W DRUG-ELUTING STENT W MCC OR 4+ VESSELS/STENTS,DE,134,77455.02239,26387.35075,24426.64179
246 - PERC CARDIOVASC PROC W DRUG-ELUTING STENT W MCC OR 4+ VESSELS/STENTS,FL,2370,114464.1114,20600.85865,18416.24599
246 - PERC CARDIOVASC PROC W DRUG-ELUTING STENT W MCC OR 4+ VESSELS/STENTS,GA,931,81931.9667,21755.60365,19103.31257
246 - PERC CARDIOVASC PROC W DRUG-ELUTING STENT W MCC OR 4+ VESSELS/STENTS,HI,74,84960.17568,28286.44595,23809.52703
246 - PERC CARDIOVASC PROC W DRUG-ELUTING STENT W MCC OR 4+ VESSELS/STENTS,IA,485,68449.24536,20769.29897,18601.62887
246 - PERC CARDIOVASC PROC W DRUG-ELUTING STENT W MCC OR 4+ VESSELS/STENTS,ID,99,74577.53535,24545.86869,19169.60606
246 - PERC CARDIOVASC PROC W DRUG-ELUTING STENT W MCC OR 4+ VESSELS/STENTS,IL,1379,98057.19942,23747.34953,20769.9971
246 - PERC CARDIOVASC PROC W DRUG-ELUTING STENT W MCC OR 4+ VESSELS/STENTS,IN,791,78984.95196,21795.15297,18731.54488
246 - PERC CARDIOVASC PROC W DRUG-ELUTING STENT W MCC OR 4+ VESSELS/STENTS,KS,249,90084.83534,21237.46988,18538.8996
246 - PERC CARDIOVASC PROC W DRUG-ELUTING STENT W MCC OR 4+ VESSELS/STENTS,KY,688,73578.48401,20987.32122,18922.87791
246 - PERC CARDIOVASC PROC W DRUG-ELUTING STENT W MCC OR 4+ VESSELS/STENTS,LA,587,97586.78876,20983.7632,18867.54514
246 - PERC CARDIOVASC PROC W DRUG-ELUTING STENT W MCC OR 4+ VESSELS/STENTS,MA,436,66672.20872,31866.34633,29756.66743
246 - PERC CARDIOVASC PROC W DRUG-ELUTING STENT W MCC OR 4+ VESSELS/STENTS,MD,417,32023.32614,30172.79616,28192.91367
246 - PERC CARDIOVASC PROC W DRUG-ELUTING STENT W MCC OR 4+ VESSELS/STENTS,ME,137,66007.48175,24323.28467,20540.11679
246 - PERC CARDIOVASC PROC W DRUG-ELUTING STENT W MCC OR 4+ VESSELS/STENTS,MI,1220,68422.96393,23703.04016,22295.02705
246 - PERC CARDIOVASC PROC W DRUG-ELUTING STENT W MCC OR 4+ VESSELS/STENTS,MN,562,74616.6637,24068.26512,21500.30427
246 - PERC CARDIOVASC PROC W DRUG-ELUTING STENT W MCC OR 4+ VESSELS/STENTS,MO,945,77039.34392,20822.46772,18874.04762
246 - PERC CARDIOVASC PROC W DRUG-ELUTING STENT W MCC OR 4+ VESSELS/STENTS,MS,423,84136.98109,20725.57447,18839.04728
246 - PERC CARDIOVASC PROC W DRUG-ELUTING STENT W MCC OR 4+ VESSELS/STENTS,MT,98,65165.5102,22457.7449,18537.70408
246 - PERC CARDIOVASC PROC W DRUG-ELUTING STENT W MCC OR 4+ VESSELS/STENTS,NC,1062,81978.2354,22584.96704,20724.92279
246 - PERC CARDIOVASC PROC W DRUG-ELUTING STENT W MCC OR 4+ VESSELS/STENTS,ND,135,62031.9037,21450.59259,19170.91111
246 - PERC CARDIOVASC PROC W DRUG-ELUTING STENT W MCC OR 4+ VESSELS/STENTS,NE,157,86649.49045,23482.83439,21217.10191
246 - PERC CARDIOVASC PROC W DRUG-ELUTING STENT W MCC OR 4+ VESSELS/STENTS,NH,94,75864.93617,26075.45745,23748.31915
246 - PERC CARDIOVASC PROC W DRUG-ELUTING STENT W MCC OR 4+ VESSELS/STENTS,NJ,841,143661.264,25382.39715,24367.89536
246 - PERC CARDIOVASC PROC W DRUG-ELUTING STENT W MCC OR 4+ VESSELS/STENTS,NM,141,90498.06383,22844.87234,20273.97872
246 - PERC CARDIOVASC PROC W DRUG-ELUTING STENT W MCC OR 4+ VESSELS/STENTS,NV,182,151320.5714,23777.10989,20633.11538
246 - PERC CARDIOVASC PROC W DRUG-ELUTING STENT W MCC OR 4+ VESSELS/STENTS,NY,1612,81970.10112,30432.4361,27621.634
246 - PERC CARDIOVASC PROC W DRUG-ELUTING STENT W MCC OR 4+ VESSELS/STENTS,OH,1222,85594.8216,22046.53355,20211.89689
246 - PERC CARDIOVASC PROC W DRUG-ELUTING STENT W MCC OR 4+ VESSELS/STENTS,OK,477,90489.0566,19980.34382,18527.73585
246 - PERC CARDIOVASC PROC W DRUG-ELUTING STENT W MCC OR 4+ VESSELS/STENTS,OR,198,67475.74242,24611.42424,22271.67677
246 - PERC CARDIOVASC PROC W DRUG-ELUTING STENT W MCC OR 4+ VESSELS/STENTS,PA,1107,119117.3397,23240.39024,20669.00813
246 - PERC CARDIOVASC PROC W DRUG-ELUTING STENT W MCC OR 4+ VESSELS/STENTS,RI,103,119752.4854,26134.80583,24231.83495
246 - PERC CARDIOVASC PROC W DRUG-ELUTING STENT W MCC OR 4+ VESSELS/STENTS,SC,557,96748.60862,21863.38241,18880.92819
246 - PERC CARDIOVASC PROC W DRUG-ELUTING STENT W MCC OR 4+ VESSELS/STENTS,SD,119,69232.27731,21014.86555,19148.45378
246 - PERC CARDIOVASC PROC W DRUG-ELUTING STENT W MCC OR 4+ VESSELS/STENTS,TN,1028,87074.27724,20459.35117,18146.44455
246 - PERC CARDIOVASC PROC W DRUG-ELUTING STENT W MCC OR 4+ VESSELS/STENTS,TX,2473,114173.6066,22456.48767,19870.39749
246 - PERC CARDIOVASC PROC W DRUG-ELUTING STENT W MCC OR 4+ VESSELS/STENTS,UT,221,67187.33032,24853.93213,19344.84163
246 - PERC CARDIOVASC PROC W DRUG-ELUTING STENT W MCC OR 4+ VESSELS/STENTS,VA,646,88596.04644,22466.64861,20307.25232
246 - PERC CARDIOVASC PROC W DRUG-ELUTING STENT W MCC OR 4+ VESSELS/STENTS,VT,58,56245.63793,28122.67241,25645.53448
246 - PERC CARDIOVASC PROC W DRUG-ELUTING STENT W MCC OR 4+ VESSELS/STENTS,WA,540,96619.9037,24902.98519,21749.9
246 - PERC CARDIOVASC PROC W DRUG-ELUTING STENT W MCC OR 4+ VESSELS/STENTS,WI,597,73680.15075,22890.46064,20536.22111
246 - PERC CARDIOVASC PROC W DRUG-ELUTING STENT W MCC OR 4+ VESSELS/STENTS,WV,356,64811.29213,21333.41854,19648.33146
246 - PERC CARDIOVASC PROC W DRUG-ELUTING STENT W MCC OR 4+ VESSELS/STENTS,WY,35,91087.8,28045,23098
247 - PERC CARDIOVASC PROC W DRUG-ELUTING STENT W/O MCC,AK,156,87279.28846,20639.83974,17063.05128
247 - PERC CARDIOVASC PROC W DRUG-ELUTING STENT W/O MCC,AL,1886,67526.08961,11197.25398,9789.147402
247 - PERC CARDIOVASC PROC W DRUG-ELUTING STENT W/O MCC,AR,2464,47425.74513,11517.56494,9674.855114
247 - PERC CARDIOVASC PROC W DRUG-ELUTING STENT W/O MCC,AZ,1813,79578.88913,14526.60232,11835.09266
247 - PERC CARDIOVASC PROC W DRUG-ELUTING STENT W/O MCC,CA,6121,112288.4511,17698.21157,15512.6994
247 - PERC CARDIOVASC PROC W DRUG-ELUTING STENT W/O MCC,CO,920,79277.14891,14427.0087,11394.0837
247 - PERC CARDIOVASC PROC W DRUG-ELUTING STENT W/O MCC,CT,985,58642.43147,18098.78883,14893.64975
247 - PERC CARDIOVASC PROC W DRUG-ELUTING STENT W/O MCC,DC,330,65702.95455,17944.59394,14932.71818
247 - PERC CARDIOVASC PROC W DRUG-ELUTING STENT W/O MCC,DE,478,58382.87448,17219.09205,13203.94561
247 - PERC CARDIOVASC PROC W DRUG-ELUTING STENT W/O MCC,FL,8023,82903.87636,12811.80381,10552.31709
247 - PERC CARDIOVASC PROC W DRUG-ELUTING STENT W/O MCC,GA,2603,58246.72071,13554.55782,10698.59931
247 - PERC CARDIOVASC PROC W DRUG-ELUTING STENT W/O MCC,HI,181,54218.60773,17991.8895,13576.48619
247 - PERC CARDIOVASC PROC W DRUG-ELUTING STENT W/O MCC,IA,1590,47865.95472,12526.3195,10630.13019
247 - PERC CARDIOVASC PROC W DRUG-ELUTING STENT W/O MCC,ID,361,50725.74515,13980.79778,11147.35734
247 - PERC CARDIOVASC PROC W DRUG-ELUTING STENT W/O MCC,IL,4990,67618.61503,15121.17916,11679
247 - PERC CARDIOVASC PROC W DRUG-ELUTING STENT W/O MCC,IN,3026,56671.54924,13193.6041,10600.24983
247 - PERC CARDIOVASC PROC W DRUG-ELUTING STENT W/O MCC,KS,936,62807.53098,12889.43269,10632.48504
247 - PERC CARDIOVASC PROC W DRUG-ELUTING STENT W/O MCC,KY,2808,51485.4042,12681.59651,11029.34793
247 - PERC CARDIOVASC PROC W DRUG-ELUTING STENT W/O MCC,LA,1657,71220.93482,12892.4146,10500.05733
247 - PERC CARDIOVASC PROC W DRUG-ELUTING STENT W/O MCC,MA,1520,47447.12237,19084.82303,17031.56053
247 - PERC CARDIOVASC PROC W DRUG-ELUTING STENT W/O MCC,MD,1423,19581.89881,18481.22207,16596.49051
247 - PERC CARDIOVASC PROC W DRUG-ELUTING STENT W/O MCC,ME,430,49139.95116,14865.26047,12200.54651
247 - PERC CARDIOVASC PROC W DRUG-ELUTING STENT W/O MCC,MI,5127,46297.76985,14313.95846,12419.14921
247 - PERC CARDIOVASC PROC W DRUG-ELUTING STENT W/O MCC,MN,2014,49351.18818,14902.35055,12107.45333
247 - PERC CARDIOVASC PROC W DRUG-ELUTING STENT W/O MCC,MO,2904,53950.5854,12665.81818,10616.50723
247 - PERC CARDIOVASC PROC W DRUG-ELUTING STENT W/O MCC,MS,1341,62126.53095,12515.48173,10554.16182
247 - PERC CARDIOVASC PROC W DRUG-ELUTING STENT W/O MCC,MT,384,47755.02604,13521.78906,10835.48438
247 - PERC CARDIOVASC PROC W DRUG-ELUTING STENT W/O MCC,NC,3535,60266.95248,14087.01245,11839.10014
247 - PERC CARDIOVASC PROC W DRUG-ELUTING STENT W/O MCC,ND,558,46212.32258,13322.82437,11183.82437
247 - PERC CARDIOVASC PROC W DRUG-ELUTING STENT W/O MCC,NE,646,61712.90402,14529.43344,11679.40712
247 - PERC CARDIOVASC PROC W DRUG-ELUTING STENT W/O MCC,NH,422,58953.87915,15612.31991,13479.45261
247 - PERC CARDIOVASC PROC W DRUG-ELUTING STENT W/O MCC,NJ,2683,94399.20686,15528.91688,13772.91577
247 - PERC CARDIOVASC PROC W DRUG-ELUTING STENT W/O MCC,NM,491,64398.88187,15919.17108,12474.5499
247 - PERC CARDIOVASC PROC W DRUG-ELUTING STENT W/O MCC,NV,644,102390.104,14501.25,11643.31522
247 - PERC CARDIOVASC PROC W DRUG-ELUTING STENT W/O MCC,NY,6581,52448.40191,19454.98526,16045.51162
247 - PERC CARDIOVASC PROC W DRUG-ELUTING STENT W/O MCC,OH,4383,57650.75473,13563.47137,11243.21104
247 - PERC CARDIOVASC PROC W DRUG-ELUTING STENT W/O MCC,OK,1357,68868.40752,14378.72218,10469.08106
247 - PERC CARDIOVASC PROC W DRUG-ELUTING STENT W/O MCC,OR,743,44845.73351,14796.52759,12095.53028
247 - PERC CARDIOVASC PROC W DRUG-ELUTING STENT W/O MCC,PA,4203,79641.77587,14169.40852,11526.50868
247 - PERC CARDIOVASC PROC W DRUG-ELUTING STENT W/O MCC,RI,194,91679.78351,17153.16495,14082.23196
247 - PERC CARDIOVASC PROC W DRUG-ELUTING STENT W/O MCC,SC,1858,72229.21582,13681.22336,10660.82347
247 - PERC CARDIOVASC PROC W DRUG-ELUTING STENT W/O MCC,SD,484,47211.20455,13184.90909,11462.51033
247 - PERC CARDIOVASC PROC W DRUG-ELUTING STENT W/O MCC,TN,3271,61905.80709,13081.8557,10200.21522
247 - PERC CARDIOVASC PROC W DRUG-ELUTING STENT W/O MCC,TX,6113,79254.63668,14243.10208,11040.39817
247 - PERC CARDIOVASC PROC W DRUG-ELUTING STENT W/O MCC,UT,701,44407.17974,14009.76462,10556.01997
247 - PERC CARDIOVASC PROC W DRUG-ELUTING STENT W/O MCC,VA,2083,65840.482,14095.01968,11147.15747
247 - PERC CARDIOVASC PROC W DRUG-ELUTING STENT W/O MCC,VT,174,37567.15517,17386.85632,15323.3046
247 - PERC CARDIOVASC PROC W DRUG-ELUTING STENT W/O MCC,WA,1600,71452.51938,15485.65563,12118.58313
247 - PERC CARDIOVASC PROC W DRUG-ELUTING STENT W/O MCC,WI,1801,52612.37313,13860.03609,11462.27929
247 - PERC CARDIOVASC PROC W DRUG-ELUTING STENT W/O MCC,WV,1137,42103.52155,12572.09675,10760.5066
247 - PERC CARDIOVASC PROC W DRUG-ELUTING STENT W/O MCC,WY,149,55567.92617,17582.13423,12636.94631
249 - PERC CARDIOVASC PROC W NON-DRUG-ELUTING STENT W/O MCC,AK,21,79698,18540.14286,16596.38095
249 - PERC CARDIOVASC PROC W NON-DRUG-ELUTING STENT W/O MCC,AL,677,59925.70901,10302.29838,9041.239291
249 - PERC CARDIOVASC PROC W NON-DRUG-ELUTING STENT W/O MCC,AR,940,51033.47979,10344.04362,9103.479787
249 - PERC CARDIOVASC PROC W NON-DRUG-ELUTING STENT W/O MCC,AZ,355,67724.49859,12933.28451,10730.23099
249 - PERC CARDIOVASC PROC W NON-DRUG-ELUTING STENT W/O MCC,CA,1337,102679.3919,15544.19073,13774.17128
249 - PERC CARDIOVASC PROC W NON-DRUG-ELUTING STENT W/O MCC,CO,252,68516.90873,12213.70238,10356.53571
249 - PERC CARDIOVASC PROC W NON-DRUG-ELUTING STENT W/O MCC,CT,406,54337.60837,16039.16256,13865.03202
249 - PERC CARDIOVASC PROC W NON-DRUG-ELUTING STENT W/O MCC,DC,105,57620.39048,15969.98095,14293.86667
249 - PERC CARDIOVASC PROC W NON-DRUG-ELUTING STENT W/O MCC,DE,90,55506.48889,13591.92222,12608.95556
249 - PERC CARDIOVASC PROC W NON-DRUG-ELUTING STENT W/O MCC,FL,2138,80495.84799,11549.34659,9783.564079
249 - PERC CARDIOVASC PROC W NON-DRUG-ELUTING STENT W/O MCC,GA,727,52402.37414,12054.35626,9824.614856
249 - PERC CARDIOVASC PROC W NON-DRUG-ELUTING STENT W/O MCC,HI,44,51006.11364,16921.70455,13614.54545
249 - PERC CARDIOVASC PROC W NON-DRUG-ELUTING STENT W/O MCC,IA,354,44101.93503,11613.52825,9455.375706
249 - PERC CARDIOVASC PROC W NON-DRUG-ELUTING STENT W/O MCC,ID,99,44244.40404,12876.49495,9886.494949
249 - PERC CARDIOVASC PROC W NON-DRUG-ELUTING STENT W/O MCC,IL,1371,64858.11597,13387.97885,10592.84172
249 - PERC CARDIOVASC PROC W NON-DRUG-ELUTING STENT W/O MCC,IN,1112,50771.0054,11617.41637,9539.495504
249 - PERC CARDIOVASC PROC W NON-DRUG-ELUTING STENT W/O MCC,KS,360,61623.64167,11610.99722,9264.752778
249 - PERC CARDIOVASC PROC W NON-DRUG-ELUTING STENT W/O MCC,KY,655,44967.58626,11289.61527,9837.578626
249 - PERC CARDIOVASC PROC W NON-DRUG-ELUTING STENT W/O MCC,LA,460,63361.02391,11568.58696,9864.719565
249 - PERC CARDIOVASC PROC W NON-DRUG-ELUTING STENT W/O MCC,MA,745,45185.4094,17524.27114,15866.98926
249 - PERC CARDIOVASC PROC W NON-DRUG-ELUTING STENT W/O MCC,MD,478,17474.24895,16464.8431,15076.93724
249 - PERC CARDIOVASC PROC W NON-DRUG-ELUTING STENT W/O MCC,ME,193,40426.05699,13146.43523,11098.17098
249 - PERC CARDIOVASC PROC W NON-DRUG-ELUTING STENT W/O MCC,MI,1308,40803.88073,12833.23853,11464.6919
249 - PERC CARDIOVASC PROC W NON-DRUG-ELUTING STENT W/O MCC,MN,445,44598.26517,12770.45393,11395.8809
249 - PERC CARDIOVASC PROC W NON-DRUG-ELUTING STENT W/O MCC,MO,762,55204.36614,11499.24278,9797.080052
249 - PERC CARDIOVASC PROC W NON-DRUG-ELUTING STENT W/O MCC,MS,447,58568.97763,11828.48098,9558.145414
249 - PERC CARDIOVASC PROC W NON-DRUG-ELUTING STENT W/O MCC,MT,128,41326.49219,11883.125,10168.78125
249 - PERC CARDIOVASC PROC W NON-DRUG-ELUTING STENT W/O MCC,NC,1176,54772.71939,12812.14626,11122.96854
249 - PERC CARDIOVASC PROC W NON-DRUG-ELUTING STENT W/O MCC,ND,65,36726.13846,11795.53846,10425.84615
249 - PERC CARDIOVASC PROC W NON-DRUG-ELUTING STENT W/O MCC,NE,193,68770.20207,13228.92746,11155.43005
249 - PERC CARDIOVASC PROC W NON-DRUG-ELUTING STENT W/O MCC,NH,176,53476.67045,13539.38068,11780.125
249 - PERC CARDIOVASC PROC W NON-DRUG-ELUTING STENT W/O MCC,NJ,824,91165.11165,14115.90413,12685.45267
249 - PERC CARDIOVASC PROC W NON-DRUG-ELUTING STENT W/O MCC,NM,144,54447.76389,12790.18056,11484.96528
249 - PERC CARDIOVASC PROC W NON-DRUG-ELUTING STENT W/O MCC,NV,178,84946.55056,12907.94382,10696.18539
249 - PERC CARDIOVASC PROC W NON-DRUG-ELUTING STENT W/O MCC,NY,1445,52815.62837,16642.32388,14701.35571
249 - PERC CARDIOVASC PROC W NON-DRUG-ELUTING STENT W/O MCC,OH,1260,52654.6627,12191.17381,10461.88095
249 - PERC CARDIOVASC PROC W NON-DRUG-ELUTING STENT W/O MCC,OK,825,59826.28,11699.18424,9664.292121
249 - PERC CARDIOVASC PROC W NON-DRUG-ELUTING STENT W/O MCC,OR,195,45033.42564,13826.12821,11130.51795
249 - PERC CARDIOVASC PROC W NON-DRUG-ELUTING STENT W/O MCC,PA,1416,69826.61088,12679.39477,10894.3637
249 - PERC CARDIOVASC PROC W NON-DRUG-ELUTING STENT W/O MCC,RI,72,80854.22222,16411.79167,12300.13889
249 - PERC CARDIOVASC PROC W NON-DRUG-ELUTING STENT W/O MCC,SC,480,68660.39167,12467.14792,10161.29583
249 - PERC CARDIOVASC PROC W NON-DRUG-ELUTING STENT W/O MCC,SD,158,41997.41139,11971.87975,10073.71519
249 - PERC CARDIOVASC PROC W NON-DRUG-ELUTING STENT W/O MCC,TN,801,53555.78652,11564.11111,9456.138577
249 - PERC CARDIOVASC PROC W NON-DRUG-ELUTING STENT W/O MCC,TX,1671,72857.86834,12303.66727,10308.54039
249 - PERC CARDIOVASC PROC W NON-DRUG-ELUTING STENT W/O MCC,UT,116,40296.88793,12711.07759,10179.69828
249 - PERC CARDIOVASC PROC W NON-DRUG-ELUTING STENT W/O MCC,VA,766,60193.60183,12033.60313,10293.66841
249 - PERC CARDIOVASC PROC W NON-DRUG-ELUTING STENT W/O MCC,VT,55,36768.74545,15520.05455,14556.81818
249 - PERC CARDIOVASC PROC W NON-DRUG-ELUTING STENT W/O MCC,WA,449,60860.31403,13763.57906,10837.78619
249 - PERC CARDIOVASC PROC W NON-DRUG-ELUTING STENT W/O MCC,WI,556,47312.30216,12928.80396,10772.91187
249 - PERC CARDIOVASC PROC W NON-DRUG-ELUTING STENT W/O MCC,WV,286,39896.40559,11422.37413,9754.48951
249 - PERC CARDIOVASC PROC W NON-DRUG-ELUTING STENT W/O MCC,WY,28,49796.03571,11492.39286,10424.96429
251 - PERC CARDIOVASC PROC W/O CORONARY ARTERY STENT W/O MCC,AK,53,102000.8868,18010.01887,15443.43396
251 - PERC CARDIOVASC PROC W/O CORONARY ARTERY STENT W/O MCC,AL,373,60140.03485,10861.7882,9756.83378
251 - PERC CARDIOVASC PROC W/O CORONARY ARTERY STENT W/O MCC,AR,525,50782.95429,11339.6819,9125.253333
251 - PERC CARDIOVASC PROC W/O CORONARY ARTERY STENT W/O MCC,AZ,611,76069.96236,13595.57283,11042.73813
251 - PERC CARDIOVASC PROC W/O CORONARY ARTERY STENT W/O MCC,CA,1663,113500.2874,17135.0896,15195.39026
251 - PERC CARDIOVASC PROC W/O CORONARY ARTERY STENT W/O MCC,CO,269,89779.68401,14497.16729,12469.87732
251 - PERC CARDIOVASC PROC W/O CORONARY ARTERY STENT W/O MCC,CT,275,68884.35636,17413.90182,14641.30182
251 - PERC CARDIOVASC PROC W/O CORONARY ARTERY STENT W/O MCC,DC,274,59366.71168,16723.4854,14454.17883
251 - PERC CARDIOVASC PROC W/O CORONARY ARTERY STENT W/O MCC,DE,66,58248.86364,16789.30303,15539.40909
251 - PERC CARDIOVASC PROC W/O CORONARY ARTERY STENT W/O MCC,FL,2724,84424.96439,12714.33554,10873.98862
251 - PERC CARDIOVASC PROC W/O CORONARY ARTERY STENT W/O MCC,GA,591,54724.41455,13225.04061,10665.21827
251 - PERC CARDIOVASC PROC W/O CORONARY ARTERY STENT W/O MCC,HI,34,55118.73529,16491.97059,14902.41176
251 - PERC CARDIOVASC PROC W/O CORONARY ARTERY STENT W/O MCC,IA,238,44731.52521,11819.10084,10532.68487
251 - PERC CARDIOVASC PROC W/O CORONARY ARTERY STENT W/O MCC,ID,50,49939.3,12487.2,11131.04
251 - PERC CARDIOVASC PROC W/O CORONARY ARTERY STENT W/O MCC,IL,1437,67390.23243,14662.88518,11697.12526
251 - PERC CARDIOVASC PROC W/O CORONARY ARTERY STENT W/O MCC,IN,796,60629.23492,12701.52764,10913.33417
251 - PERC CARDIOVASC PROC W/O CORONARY ARTERY STENT W/O MCC,KS,281,60861.5516,11990.48399,10091.58719
251 - PERC CARDIOVASC PROC W/O CORONARY ARTERY STENT W/O MCC,KY,564,48345.09929,12097.84752,10494.80142
251 - PERC CARDIOVASC PROC W/O CORONARY ARTERY STENT W/O MCC,LA,428,66466.85981,12124.65888,10082.62617
251 - PERC CARDIOVASC PROC W/O CORONARY ARTERY STENT W/O MCC,MA,665,61876.07669,18797.70226,17112.76842
251 - PERC CARDIOVASC PROC W/O CORONARY ARTERY STENT W/O MCC,MD,391,25393.31202,24001.47315,21218.5243
251 - PERC CARDIOVASC PROC W/O CORONARY ARTERY STENT W/O MCC,ME,83,49391.79518,14514.06024,12079.54217
251 - PERC CARDIOVASC PROC W/O CORONARY ARTERY STENT W/O MCC,MI,1161,40369.95866,21324.49354,12316.33075
251 - PERC CARDIOVASC PROC W/O CORONARY ARTERY STENT W/O MCC,MN,755,60390.16026,14300.14305,11950.28742
251 - PERC CARDIOVASC PROC W/O CORONARY ARTERY STENT W/O MCC,MO,526,61674.30418,12343.63118,10724.64259
251 - PERC CARDIOVASC PROC W/O CORONARY ARTERY STENT W/O MCC,MS,270,49280.45926,11466.68519,9844.3
251 - PERC CARDIOVASC PROC W/O CORONARY ARTERY STENT W/O MCC,MT,42,41180.42857,11235.42857,10441.80952
251 - PERC CARDIOVASC PROC W/O CORONARY ARTERY STENT W/O MCC,NC,953,65217.09549,14476.83421,12787.03148
251 - PERC CARDIOVASC PROC W/O CORONARY ARTERY STENT W/O MCC,ND,58,40665.05172,12133.82759,10505.75862
251 - PERC CARDIOVASC PROC W/O CORONARY ARTERY STENT W/O MCC,NE,146,56243.04795,13367.87671,10935.63014
251 - PERC CARDIOVASC PROC W/O CORONARY ARTERY STENT W/O MCC,NH,106,60819.20755,15395.63208,12868.86792
251 - PERC CARDIOVASC PROC W/O CORONARY ARTERY STENT W/O MCC,NJ,832,89212.3149,14835.78365,13690.75
251 - PERC CARDIOVASC PROC W/O CORONARY ARTERY STENT W/O MCC,NM,80,62030.775,14087.2875,12598.5125
251 - PERC CARDIOVASC PROC W/O CORONARY ARTERY STENT W/O MCC,NV,112,90136.92857,13881.38393,10955.03571
251 - PERC CARDIOVASC PROC W/O CORONARY ARTERY STENT W/O MCC,NY,2223,61909.34053,18209.90688,15683.90013
251 - PERC CARDIOVASC PROC W/O CORONARY ARTERY STENT W/O MCC,OH,1289,61894.74166,13583.35531,11714.81303
251 - PERC CARDIOVASC PROC W/O CORONARY ARTERY STENT W/O MCC,OK,374,62644.17914,12772.38503,10639.78342
251 - PERC CARDIOVASC PROC W/O CORONARY ARTERY STENT W/O MCC,OR,137,46824.11679,14543.13869,12662.61314
251 - PERC CARDIOVASC PROC W/O CORONARY ARTERY STENT W/O MCC,PA,1549,102387.0116,15109.35636,13253.42027
251 - PERC CARDIOVASC PROC W/O CORONARY ARTERY STENT W/O MCC,RI,32,55094.3125,14621.6875,13568.78125
251 - PERC CARDIOVASC PROC W/O CORONARY ARTERY STENT W/O MCC,SC,494,79095.083,14007.60931,11182.83198
251 - PERC CARDIOVASC PROC W/O CORONARY ARTERY STENT W/O MCC,SD,76,37706.34211,12725.59211,10388.97368
251 - PERC CARDIOVASC PROC W/O CORONARY ARTERY STENT W/O MCC,TN,781,64135.15237,12613.91933,10214.17798
251 - PERC CARDIOVASC PROC W/O CORONARY ARTERY STENT W/O MCC,TX,1889,79777.56008,12961.93065,10988.17999
251 - PERC CARDIOVASC PROC W/O CORONARY ARTERY STENT W/O MCC,UT,215,40334.49767,14057.12558,9829.055814
251 - PERC CARDIOVASC PROC W/O CORONARY ARTERY STENT W/O MCC,VA,581,66890.08434,14131.37177,11673.70052
251 - PERC CARDIOVASC PROC W/O CORONARY ARTERY STENT W/O MCC,VT,46,53235.23913,15865.54348,15039.8913
251 - PERC CARDIOVASC PROC W/O CORONARY ARTERY STENT W/O MCC,WA,275,67136.97091,15672.93455,12303.08727
251 - PERC CARDIOVASC PROC W/O CORONARY ARTERY STENT W/O MCC,WI,507,56723.67061,13395.60552,11875.19527
251 - PERC CARDIOVASC PROC W/O CORONARY ARTERY STENT W/O MCC,WV,283,41359.91873,12408.61131,10919.24028
251 - PERC CARDIOVASC PROC W/O CORONARY ARTERY STENT W/O MCC,WY,21,47034.52381,17731,9808.714286
252 - OTHER VASCULAR PROCEDURES W MCC,AK,12,98027.33333,29422.08333,28556.91667
252 - OTHER VASCULAR PROCEDURES W MCC,AL,734,68775.98229,18313.77929,17002.07766
252 - OTHER VASCULAR PROCEDURES W MCC,AR,364,66543.50824,18824.53571,17858.70879
252 - OTHER VASCULAR PROCEDURES W MCC,AZ,561,89414.57754,22761.37077,21095.30838
252 - OTHER VASCULAR PROCEDURES W MCC,CA,2881,148307.2971,29239.06178,28202.40472
